行業別大類,行業別中類,行業別小類,月份,用電量
J.出版、影音製作、傳播及資通訊服務業,61 電信業,,03,116444314
J.出版、影音製作、傳播及資通訊服務業,62 電腦程式設計、諮詢及相關服務業,,03,3329532
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,"631 入口網站經營、資料處理、
      主機及網站代管服務業",03,49815083
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,639 其他資訊服務業,03,91202
K.金融及保險業,64 金融服務業,641 貨幣中介業,03,60697800
K.金融及保險業,64 金融服務業,642 控股業,03,1082675
K.金融及保險業,64 金融服務業,643 信託、基金及類似金融實體,03,681004
K.金融及保險業,64 金融服務業,649 其他金融服務業,03,2348103
K.金融及保險業,65 保險業,651 人身保險業,03,27646820
K.金融及保險業,65 保險業,652 財產保險業,03,2339355
K.金融及保險業,65 保險業,653 再保險業,03,0
K.金融及保險業,65 保險業,654 退休基金,03,0
K.金融及保險業,65 保險業,655 保險輔助業,03,608367
K.金融及保險業,66 證券期貨及金融輔助業,661 證券業,03,5580468
K.金融及保險業,66 證券期貨及金融輔助業,662 期貨業,03,138764
K.金融及保險業,66 證券期貨及金融輔助業,664 基金管理業,03,160920
K.金融及保險業,66 證券期貨及金融輔助業,669 其他金融輔助業,03,2797789
L.不動產業,67 不動產開發業,,03,44879917
L.不動產業,68 不動產經營及相關服務業,681 不動產經營業,03,36196550
L.不動產業,68 不動產經營及相關服務業,689 其他不動產業,03,7398707
M.專業、科學及技術服務業,69 法律及會計服務業,691 法律服務業,03,2508835
M.專業、科學及技術服務業,69 法律及會計服務業,692 會計服務業,03,743264
M.專業、科學及技術服務業,70 企業總管理機構及管理顧問業,701 企業總管理機構,03,40479769
M.專業、科學及技術服務業,70 企業總管理機構及管理顧問業,702 管理顧問業,03,3680485
M.專業、科學及技術服務業,71 建築、工程服務及技術檢測、分析服務業,711 建築、工程服務及相關技術顧問業,03,4911481
M.專業、科學及技術服務業,71 建築、工程服務及技術檢測、分析服務業,712 技術檢測及分析服務業,03,7368735
M.專業、科學及技術服務業,72 研究發展服務業,721 自然及工程科學研究發展服務業,03,8282003
M.專業、科學及技術服務業,72 研究發展服務業,722 社會及人文科學研究發展服務業,03,66540
M.專業、科學及技術服務業,72 研究發展服務業,723 綜合研究發展服務業,03,4792420
M.專業、科學及技術服務業,73 廣告業及市場研究業,731 廣告業,03,825915
M.專業、科學及技術服務業,73 廣告業及市場研究業,732 市場研究及民意調查業,03,100520
M.專業、科學及技術服務業,74 專門設計業,,03,591090
M.專業、科學及技術服務業,75 獸醫業,,03,537328
M.專業、科學及技術服務業,76 其他專業、科學及技術服務業,,03,2505656
N.支援服務業,77 租賃業,771 機械設備租賃業,03,1376857
N.支援服務業,77 租賃業,772 運輸工具租賃業,03,96505
N.支援服務業,77 租賃業,773 個人及家庭用品租賃業,03,13922852
N.支援服務業,77 租賃業,774 智慧財產租賃業,03,24334
N.支援服務業,78 人力仲介及供應業,781 人力仲介業,03,1015964
N.支援服務業,78 人力仲介及供應業,782 人力供應業,03,378714
N.支援服務業,79 旅行及相關服務業,,03,1750780
N.支援服務業,80 保全及偵探業,,03,867649
N.支援服務業,81 建築物及綠化服務業,811 複合支援服務業,03,302692
N.支援服務業,81 建築物及綠化服務業,812 清潔服務業,03,22970468
N.支援服務業,81 建築物及綠化服務業,813 綠化服務業,03,38557
N.支援服務業,82 行政支援服務業,,03,2692421
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,831 公共行政,03,79583639
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,832 國防事務,03,53062442
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,833 強制性社會安全事務,03,439140
O.公共行政及國防；強制性社會安全,84 國際組織及外國機構,,03,1002502
P.教育業,85 教育業,851 學前教育,03,1512844
P.教育業,85 教育業,852 小學教育,03,18611209
P.教育業,85 教育業,853 國民中學教育,03,23386731
P.教育業,85 教育業,854 高級中等教育,03,27444717
P.教育業,85 教育業,855 大專校院,03,159649811
P.教育業,85 教育業,856 特殊教育學校,03,82208
P.教育業,85 教育業,858 教育輔助業,03,14656
P.教育業,85 教育業,859 其他教育業,03,19149777
Q.醫療保健及社會工作服務業,86 醫療保健業,861 醫院,03,184742286
Q.醫療保健及社會工作服務業,86 醫療保健業,862 診所,03,16303547
Q.醫療保健及社會工作服務業,86 醫療保健業,869 其他醫療保健業,03,12051767
Q.醫療保健及社會工作服務業,87 居住型照顧服務業,,03,15748889
Q.醫療保健及社會工作服務業,88 其他社會工作服務業,,03,7777582
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,901 創作業,03,402830
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,902 藝術表演業,03,696683
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,903 創作及藝術表演輔助業,03,4683690
R.藝術、娛樂及休閒服務業,91 圖書館、檔案保存、博物館及類似機構,,03,13813089
R.藝術、娛樂及休閒服務業,92 博弈業,,03,55790
R.藝術、娛樂及休閒服務業,93 運動、娛樂及休閒服務業,931 運動服務業,03,21632965
R.藝術、娛樂及休閒服務業,93 運動、娛樂及休閒服務業,932 娛樂及休閒服務業,03,27778909
S.其他服務業,94 宗教、職業及類似組織,941 宗教組織,03,3731842
S.其他服務業,94 宗教、職業及類似組織,942 職業團體,03,311345
S.其他服務業,94 宗教、職業及類似組織,949 其他組織,03,26720071
S.其他服務業,95 個人及家庭用品維修業,951 汽車維修及美容業,03,3791574
S.其他服務業,95 個人及家庭用品維修業,952 電腦、通訊傳播設備及電子產品維修業,03,288188
S.其他服務業,95 個人及家庭用品維修業,959 其他個人及家庭用品維修業,03,237710
S.其他服務業,96 未分類其他服務業,961 洗衣業,03,5232347
S.其他服務業,96 未分類其他服務業,962 美髮及美容美體業,03,6422976
S.其他服務業,96 未分類其他服務業,963 殯葬及相關服務業,03,3376802
S.其他服務業,96 未分類其他服務業,964 家事服務業,03,18099
S.其他服務業,96 未分類其他服務業,969 其他個人服務業,03,3894415
T.家庭(住宅用),97 住宅與公共設施,,03,169451155
U.其他不能歸類,98 其他不能歸類,,03,63242898
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,04,35747760
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,04,46249896
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,04,59261351
A.農、林、漁、牧業,02 林業,021 林業,04,156870
A.農、林、漁、牧業,03 漁業,031 漁撈業,04,129178
A.農、林、漁、牧業,03 漁業,032 水產養殖業,04,73805683
B.礦業及土石採取業,05 石油及天然氣礦業,,04,2740308
B.礦業及土石採取業,06 砂、石採取及其他礦業,,04,14142374
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,04,33210554
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,04,14045653
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,04,17777458
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,04,12683980
C.製造業,08 食品及飲料製造業,085 乳品製造業,04,18474446
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,04,18159272
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,04,30130717
C.製造業,08 食品及飲料製造業,089 其他食品製造業,04,128696184
C.製造業,09 飲料製造業,091 酒精飲料製造業,04,9496643
C.製造業,09 飲料製造業,092 非酒精飲料製造業,04,25915795
C.製造業,10 菸草製造業,,04,4239255
C.製造業,11 紡織業,111 紡紗業,04,130042797
C.製造業,11 紡織業,112 織布業,04,209103003
C.製造業,11 紡織業,113 不織布業,04,27657200
C.製造業,11 紡織業,114 染整業,04,65251989
C.製造業,11 紡織業,115 紡織品製造業,04,22316219
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,04,12296817
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,04,4001292
C.製造業,13 皮革、毛皮及其製品製造業,,04,13512066
C.製造業,14 木竹製品製造業,,04,9672404
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,04,94339141
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,04,30403622
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,04,30619741
C.製造業,16 印刷及資料儲存媒體複製業,,04,35704475
C.製造業,17 石油及煤製品製造業,,04,152081306
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,04,438584861
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,04,11363208
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,04,238604067
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,04,146051028
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,04,4945982
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,04,18701762
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,04,11162237
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,04,103213521
C.製造業,20 藥品及醫用化學製品製造業,,04,67261176
C.製造業,21 橡膠製品製造業,,04,88620462
C.製造業,22 塑膠製品製造業,,04,421301235
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,04,251856498
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,04,32946545
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,04,125771282
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,04,9177809
C.製造業,23 非金屬礦物製品製造業,239 其他非金屬礦物製品製造業,04,38139314
C.製造業,24 基本金屬製造業,241 鋼鐵製造業,04,926318909
C.製造業,24 基本金屬製造業,242 鋁製造業,04,65974155
C.製造業,24 基本金屬製造業,243 銅製造業,04,90675297
C.製造業,24 基本金屬製造業,249 其他基本金屬製造業,04,27270467
C.製造業,25 金屬製品製造業,251 金屬刀具、手工具及模具製造業,04,89709461
C.製造業,25 金屬製品製造業,252 金屬結構及建築組件製造業,04,70916857
C.製造業,25 金屬製品製造業,253 金屬容器製造業,04,12806174
C.製造業,25 金屬製品製造業,254 金屬加工處理業,04,171166072
C.製造業,25 金屬製品製造業,259 其他金屬製品製造業,04,159410288
C.製造業,26 電子零組件製造業,261 半導體製造業,04,2155386837
C.製造業,26 電子零組件製造業,262 被動電子元件製造業,04,137506612
C.製造業,26 電子零組件製造業,263 印刷電路板製造業,04,274790178
C.製造業,26 電子零組件製造業,264 光電材料及元件製造業,04,1003487710
C.製造業,26 電子零組件製造業,269 其他電子零組件製造業,04,255485294
C.製造業,27 電腦、電子產品及光學製品製造業,271 電腦及其週邊設備製造業,04,45119220
C.製造業,27 電腦、電子產品及光學製品製造業,272 通訊傳播設備製造業,04,25348103
C.製造業,27 電腦、電子產品及光學製品製造業,273 視聽電子產品製造業,04,6554074
C.製造業,27 電腦、電子產品及光學製品製造業,274 資料儲存媒體製造業,04,22308568
C.製造業,27 電腦、電子產品及光學製品製造業,275 量測、導航、控制設備及鐘錶製造業,04,14945453
C.製造業,27 電腦、電子產品及光學製品製造業,276 輻射及電子醫學設備製造業,04,990882
C.製造業,27 電腦、電子產品及光學製品製造業,277 光學儀器及設備製造業,04,58765079
C.製造業,28 電力設備及配備製造業,281 發電、輸電及配電機械製造業,04,20267896
C.製造業,28 電力設備及配備製造業,282 電池製造業,04,24764244
C.製造業,28 電力設備及配備製造業,283 電線及配線器材製造業,04,39936468
C.製造業,28 電力設備及配備製造業,284 照明設備及配備製造業,04,5594426
C.製造業,28 電力設備及配備製造業,285 家用電器製造業,04,17327654
C.製造業,28 電力設備及配備製造業,289 其他電力設備及配備製造業,04,94269792
C.製造業,29 機械設備製造業,291 金屬加工用機械設備製造業,04,40733231
C.製造業,29 機械設備製造業,292 其他專用機械設備製造業,04,51114474
C.製造業,29 機械設備製造業,293 通用機械設備製造業,04,85190386
C.製造業,30 汽車及其零件製造業,301 汽車製造業,04,12011155
C.製造業,30 汽車及其零件製造業,302 車體製造業,04,1506747
C.製造業,30 汽車及其零件製造業,303 汽車零件製造業,04,118967375
C.製造業,31 其他運輸工具及其零件製造業,311 船舶及浮動設施製造業,04,11411493
C.製造業,31 其他運輸工具及其零件製造業,312 機車及其零件製造業,04,23477095
C.製造業,31 其他運輸工具及其零件製造業,313 自行車及其零件製造業,04,30313956
C.製造業,31 其他運輸工具及其零件製造業,319 未分類其他運輸工具及其零件製造業,04,26131616
C.製造業,32 家具製造業,321 非金屬家具製造業,04,6764735
C.製造業,32 家具製造業,322 金屬家具製造業,04,5812956
C.製造業,33 其他製造業,331 育樂用品製造業,04,21950388
C.製造業,33 其他製造業,332 醫療器材及用品製造業,04,39014132
C.製造業,33 其他製造業,339 未分類其他製造業,04,17564818
C.製造業,34 產業用機械設備維修及安裝業,,04,15497528
D.電力及燃氣供應業,35 電力及燃氣供應業,351 電力供應業,04,8142391
D.電力及燃氣供應業,35 電力及燃氣供應業,352 氣體燃料供應業,04,37898046
D.電力及燃氣供應業,35 電力及燃氣供應業,353 蒸汽供應業,04,149027
E.用水供應及污染整治業,36 用水供應業,,04,98091052
E.用水供應及污染整治業,37 廢水及污水處理業,,04,3019010
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,381 廢棄物清除業,04,2798755
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,382 廢棄物處理業,04,5109385
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,383 資源回收處理業,04,7408527
E.用水供應及污染整治業,39 污染整治業,,04,269277
F.營建工程業,41 建築工程業,,04,25530636
F.營建工程業,42 土木工程業,421 道路工程業,04,7907165
F.營建工程業,42 土木工程業,422 公用事業設施工程業,04,12121892
F.營建工程業,42 土木工程業,429 其他土木工程業,04,1568014
F.營建工程業,43 專門營造業,431 整地、基礎及結構工程業,04,1349441
F.營建工程業,43 專門營造業,432 庭園景觀工程業,04,122437
F.營建工程業,43 專門營造業,433 機電、管道及其他建築設備安裝業,04,5375697
F.營建工程業,43 專門營造業,434 建物完工裝修工程業,04,1637580
F.營建工程業,43 專門營造業,439 其他專門營造業,04,2501221
G.批發及零售業,45 批發業,451 商品批發經紀業,04,4628684
G.批發及零售業,45 批發業,452 綜合商品批發業,04,9227200
G.批發及零售業,45 批發業,453 農產原料及活動物批發業,04,11202482
G.批發及零售業,45 批發業,454 食品、飲料及菸草製品批發業,04,42521313
G.批發及零售業,45 批發業,455 布疋及服飾品批發業,04,7377665
G.批發及零售業,45 批發業,456 家用器具及用品批發業,04,10154409
G.批發及零售業,45 批發業,457 藥品、醫療用品及化粧品批發業,04,5628000
G.批發及零售業,45 批發業,458 文教育樂用品批發業,04,2331689
G.批發及零售業,45 批發業,461 建材批發業,04,25609084
G.批發及零售業,45 批發業,462 化學原材料及其製品批發業,04,12664878
G.批發及零售業,45 批發業,463 燃料及相關產品批發業,04,2829567
G.批發及零售業,45 批發業,464 機械器具批發業,04,23577143
G.批發及零售業,45 批發業,465 汽機車及其零配件、用品批發業,04,5741322
G.批發及零售業,45 批發業,469 其他專賣批發業,04,10996159
G.批發及零售業,47 零售業,471 綜合商品零售業,04,284764875
G.批發及零售業,47 零售業,472 食品、飲料及菸草製品零售業,04,33581948
G.批發及零售業,47 零售業,473 布疋及服飾品零售業,04,11074411
G.批發及零售業,47 零售業,474 家用器具及用品零售業,04,10475500
G.批發及零售業,47 零售業,475 藥品、醫療用品及化粧品零售業,04,6579138
G.批發及零售業,47 零售業,476 文教育樂用品零售業,04,4095826
G.批發及零售業,47 零售業,481 建材零售業,04,1678187
G.批發及零售業,47 零售業,482 燃料及相關產品零售業,04,6284946
G.批發及零售業,47 零售業,483 資訊及通訊設備零售業,04,7777163
G.批發及零售業,47 零售業,484 汽機車及其零配件、用品零售業,04,11957191
G.批發及零售業,47 零售業,485 其他專賣零售業,04,5642329
G.批發及零售業,47 零售業,486 零售攤販,04,82984
G.批發及零售業,47 零售業,487 其他非店面零售業,04,3665779
H.運輸及倉儲業,49 陸上運輸業,491 鐵路運輸業,04,110810507
H.運輸及倉儲業,49 陸上運輸業,492 大眾捷運系統運輸業,04,83681384
H.運輸及倉儲業,49 陸上運輸業,493 汽車客運業,04,1730416
H.運輸及倉儲業,49 陸上運輸業,494 汽車貨運業,04,5605279
H.運輸及倉儲業,49 陸上運輸業,499 其他陸上運輸業,04,79440
H.運輸及倉儲業,50 水上運輸業,501 海洋水運業,04,1433412
H.運輸及倉儲業,50 水上運輸業,502 內河及湖泊水運業,04,0
H.運輸及倉儲業,51 航空運輸業,,04,4646319
H.運輸及倉儲業,52 運輸輔助業,521 報關業,04,1859920
H.運輸及倉儲業,52 運輸輔助業,522 船務代理業,04,121975
H.運輸及倉儲業,52 運輸輔助業,523 貨運承攬業,04,2403491
H.運輸及倉儲業,52 運輸輔助業,524 陸上運輸輔助業,04,21818353
H.運輸及倉儲業,52 運輸輔助業,525 水上運輸輔助業,04,16031316
H.運輸及倉儲業,52 運輸輔助業,526 航空運輸輔助業,04,26358167
H.運輸及倉儲業,52 運輸輔助業,529 其他運輸輔助業,04,7084331
H.運輸及倉儲業,53 倉儲業,,04,48712507
H.運輸及倉儲業,54 郵政及快遞業,541 郵政業,04,1842523
H.運輸及倉儲業,54 郵政及快遞業,542 快遞業,04,4147867
I.住宿及餐飲業,55 住宿業,551 短期住宿業,04,159379838
I.住宿及餐飲業,55 住宿業,559 其他住宿業,04,189975
I.住宿及餐飲業,56 餐飲業,561 餐食業,04,89060562
I.住宿及餐飲業,56 餐飲業,562 外燴及團膳承包業,04,5761361
I.住宿及餐飲業,56 餐飲業,563 飲料業,04,5289677
J.出版、影音製作、傳播及資通訊服務業,58 出版業,581 新聞、雜誌、期刊、書籍及其他出版業,04,3505541
J.出版、影音製作、傳播及資通訊服務業,58 出版業,582 軟體出版業,04,240881
J.出版、影音製作、傳播及資通訊服務業,59 影片及電視節目業；聲音錄製及音樂發行業,591 影片及電視節目業,04,7839385
J.出版、影音製作、傳播及資通訊服務業,59 影片及電視節目業；聲音錄製及音樂發行業,592 聲音錄製及音樂發行業,04,166494
J.出版、影音製作、傳播及資通訊服務業,60 廣播、電視節目編排及傳播業,601 廣播業,04,6604617
J.出版、影音製作、傳播及資通訊服務業,60 廣播、電視節目編排及傳播業,602 電視節目編排及傳播業,04,9775368
J.出版、影音製作、傳播及資通訊服務業,61 電信業,,04,117123394
J.出版、影音製作、傳播及資通訊服務業,62 電腦程式設計、諮詢及相關服務業,,04,3569021
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,"631 入口網站經營、資料處理、
      主機及網站代管服務業",04,48906506
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,639 其他資訊服務業,04,97678
K.金融及保險業,64 金融服務業,641 貨幣中介業,04,66302485
K.金融及保險業,64 金融服務業,642 控股業,04,1246608
K.金融及保險業,64 金融服務業,643 信託、基金及類似金融實體,04,720503
K.金融及保險業,64 金融服務業,649 其他金融服務業,04,2587539
K.金融及保險業,65 保險業,651 人身保險業,04,29976650
K.金融及保險業,65 保險業,652 財產保險業,04,2538848
K.金融及保險業,65 保險業,653 再保險業,04,0
K.金融及保險業,65 保險業,654 退休基金,04,0
K.金融及保險業,65 保險業,655 保險輔助業,04,709117
K.金融及保險業,66 證券期貨及金融輔助業,661 證券業,04,6145563
K.金融及保險業,66 證券期貨及金融輔助業,662 期貨業,04,143215
K.金融及保險業,66 證券期貨及金融輔助業,664 基金管理業,04,182240
K.金融及保險業,66 證券期貨及金融輔助業,669 其他金融輔助業,04,2888912
L.不動產業,67 不動產開發業,,04,46512216
L.不動產業,68 不動產經營及相關服務業,681 不動產經營業,04,38355552
L.不動產業,68 不動產經營及相關服務業,689 其他不動產業,04,7773067
M.專業、科學及技術服務業,69 法律及會計服務業,691 法律服務業,04,2870553
M.專業、科學及技術服務業,69 法律及會計服務業,692 會計服務業,04,924076
M.專業、科學及技術服務業,70 企業總管理機構及管理顧問業,701 企業總管理機構,04,42373452
M.專業、科學及技術服務業,70 企業總管理機構及管理顧問業,702 管理顧問業,04,3945667
M.專業、科學及技術服務業,71 建築、工程服務及技術檢測、分析服務業,711 建築、工程服務及相關技術顧問業,04,5423079
M.專業、科學及技術服務業,71 建築、工程服務及技術檢測、分析服務業,712 技術檢測及分析服務業,04,8168130
M.專業、科學及技術服務業,72 研究發展服務業,721 自然及工程科學研究發展服務業,04,8787086
M.專業、科學及技術服務業,72 研究發展服務業,722 社會及人文科學研究發展服務業,04,79394
M.專業、科學及技術服務業,72 研究發展服務業,723 綜合研究發展服務業,04,5053260
M.專業、科學及技術服務業,73 廣告業及市場研究業,731 廣告業,04,803537
M.專業、科學及技術服務業,73 廣告業及市場研究業,732 市場研究及民意調查業,04,114720
M.專業、科學及技術服務業,74 專門設計業,,04,658804
M.專業、科學及技術服務業,75 獸醫業,,04,591256
M.專業、科學及技術服務業,76 其他專業、科學及技術服務業,,04,2767602
N.支援服務業,77 租賃業,771 機械設備租賃業,04,1416502
N.支援服務業,77 租賃業,772 運輸工具租賃業,04,106614
N.支援服務業,77 租賃業,773 個人及家庭用品租賃業,04,14436349
N.支援服務業,77 租賃業,774 智慧財產租賃業,04,27647
N.支援服務業,78 人力仲介及供應業,781 人力仲介業,04,1015512
N.支援服務業,78 人力仲介及供應業,782 人力供應業,04,399712
N.支援服務業,79 旅行及相關服務業,,04,1887779
N.支援服務業,80 保全及偵探業,,04,909840
N.支援服務業,81 建築物及綠化服務業,811 複合支援服務業,04,328327
N.支援服務業,81 建築物及綠化服務業,812 清潔服務業,04,23421559
N.支援服務業,81 建築物及綠化服務業,813 綠化服務業,04,35981
N.支援服務業,82 行政支援服務業,,04,2724578
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,831 公共行政,04,86778230
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,832 國防事務,04,58010656
O.公共行政及國防；強制性社會安全,83 公共行政及國防；強制性社會安全,833 強制性社會安全事務,04,463840
O.公共行政及國防；強制性社會安全,84 國際組織及外國機構,,04,1181116
P.教育業,85 教育業,851 學前教育,04,1793094
P.教育業,85 教育業,852 小學教育,04,20716043
P.教育業,85 教育業,853 國民中學教育,04,27867153
P.教育業,85 教育業,854 高級中等教育,04,33671499
P.教育業,85 教育業,855 大專校院,04,180335346
P.教育業,85 教育業,856 特殊教育學校,04,87728
P.教育業,85 教育業,858 教育輔助業,04,15354
P.教育業,85 教育業,859 其他教育業,04,20651509
Q.醫療保健及社會工作服務業,86 醫療保健業,861 醫院,04,200667078
Q.醫療保健及社會工作服務業,86 醫療保健業,862 診所,04,17744436
Q.醫療保健及社會工作服務業,86 醫療保健業,869 其他醫療保健業,04,12865794
Q.醫療保健及社會工作服務業,87 居住型照顧服務業,,04,17062398
Q.醫療保健及社會工作服務業,88 其他社會工作服務業,,04,8695676
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,901 創作業,04,504583
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,902 藝術表演業,04,765219
R.藝術、娛樂及休閒服務業,90 創作及藝術表演業,903 創作及藝術表演輔助業,04,5168232
R.藝術、娛樂及休閒服務業,91 圖書館、檔案保存、博物館及類似機構,,04,14904520
R.藝術、娛樂及休閒服務業,92 博弈業,,04,56129
R.藝術、娛樂及休閒服務業,93 運動、娛樂及休閒服務業,931 運動服務業,04,23855586
R.藝術、娛樂及休閒服務業,93 運動、娛樂及休閒服務業,932 娛樂及休閒服務業,04,29458316
S.其他服務業,94 宗教、職業及類似組織,941 宗教組織,04,3929328
S.其他服務業,94 宗教、職業及類似組織,942 職業團體,04,340523
S.其他服務業,94 宗教、職業及類似組織,949 其他組織,04,28679660
S.其他服務業,95 個人及家庭用品維修業,951 汽車維修及美容業,04,4032238
S.其他服務業,95 個人及家庭用品維修業,952 電腦、通訊傳播設備及電子產品維修業,04,321979
S.其他服務業,95 個人及家庭用品維修業,959 其他個人及家庭用品維修業,04,269412
S.其他服務業,96 未分類其他服務業,961 洗衣業,04,5282842
S.其他服務業,96 未分類其他服務業,962 美髮及美容美體業,04,6353817
S.其他服務業,96 未分類其他服務業,963 殯葬及相關服務業,04,3724320
S.其他服務業,96 未分類其他服務業,964 家事服務業,04,20369
S.其他服務業,96 未分類其他服務業,969 其他個人服務業,04,3937317
T.家庭(住宅用),97 住宅與公共設施,,04,175597667
U.其他不能歸類,98 其他不能歸類,,04,67817437
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,05,38877354
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,05,53207899
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,05,63010633
A.農、林、漁、牧業,02 林業,021 林業,05,173257
A.農、林、漁、牧業,03 漁業,031 漁撈業,05,150597
A.農、林、漁、牧業,03 漁業,032 水產養殖業,05,82948063
B.礦業及土石採取業,05 石油及天然氣礦業,,05,1043055
B.礦業及土石採取業,06 砂、石採取及其他礦業,,05,13710239
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,05,35637424
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,05,15221458
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,05,18301593
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,05,13341527
C.製造業,08 食品及飲料製造業,085 乳品製造業,05,20049796
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,05,20300520
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,05,32803050
C.製造業,08 食品及飲料製造業,089 其他食品製造業,05,141051315
C.製造業,09 飲料製造業,091 酒精飲料製造業,05,13709926
C.製造業,09 飲料製造業,092 非酒精飲料製造業,05,28713226
C.製造業,10 菸草製造業,,05,4286526
C.製造業,11 紡織業,111 紡紗業,05,136098098
C.製造業,11 紡織業,112 織布業,05,218795965
C.製造業,11 紡織業,113 不織布業,05,30430648
C.製造業,11 紡織業,114 染整業,05,69627728
C.製造業,11 紡織業,115 紡織品製造業,05,24065144
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,05,14234939
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,05,4399984
C.製造業,13 皮革、毛皮及其製品製造業,,05,14289450
C.製造業,14 木竹製品製造業,,05,10654189
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,05,94106458
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,05,32831028
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,05,31705913
C.製造業,16 印刷及資料儲存媒體複製業,,05,40342398
C.製造業,17 石油及煤製品製造業,,05,221100496
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,05,438457285
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,05,13554036
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,05,210766544
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,05,133092348
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,05,5132047
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,05,20311862
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,05,12809987
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,05,105716879
C.製造業,20 藥品及醫用化學製品製造業,,05,72908228
C.製造業,21 橡膠製品製造業,,05,93203645
C.製造業,22 塑膠製品製造業,,05,453934673
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,05,257937331
